@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.7175757584222,-92.6447615111627,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-84.06224753308669,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-81.91661903856769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.6447615111627,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-82.98943328582719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-81.91661903856769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-92.6447615111627,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04284807145366,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26129081323216,-72.26129081323216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-81.91661903856769,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-86.20787602760569,-100.0,-100.0,-100.0,-96.9360185002007
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-74.40691930775117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-67.97003382419416,-67.97003382419416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-73.33410506049167,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-74.40691930775117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-88.3535045221247,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.20787602760569,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.40691930775117,-73.33410506049167,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26129081323216,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-92.6447615111627,-92.6447615111627,-100.0,-100.0,-84.06224753308669,-85.13506178034619,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-85.13506178034619,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-87.2806902748652,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-78.69817629678917,-78.69817629678917,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.13506178034619,-85.13506178034619,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26129081323216,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-81.91661903856769,-81.91661903856769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-84.06224753308669,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-88.3535045221247,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-78.69817629678917,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-84.06224753308669,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-82.98943328582719,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04284807145366,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-74.40691930775117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-78.69817629678917,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-85.13506178034619,-84.06224753308669,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-84.06224753308669,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-78.69817629678917,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04284807145366,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-79.77099054404867,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-67.97003382419416,-67.97003382419416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-75.47973355501067,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-86.20787602760569,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-79.77099054404867,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-75.47973355501067,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-74.40691930775117,-74.40691930775117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-73.33410506049167,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-73.33410506049167,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47973355501067,-73.33410506049167,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-78.69817629678917,-79.77099054404867,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.13506178034619,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47973355501067,-75.47973355501067,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.69817629678917,-79.77099054404867,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-72.26129081323216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.91661903856769,-80.84380479130819,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04284807145366,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-62.605962587896656,-63.67877683515616,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-90.4991330166437,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-86.20787602760569,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-81.91661903856769,-81.91661903856769,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-82.98943328582719,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-96.9360185002007,-100.0,-100.0,-79.77099054404867,-80.84380479130819,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-84.06224753308669,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04284807145366,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-79.77099054404867,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47973355501067,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-81.91661903856769,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26129081323216,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.91661903856769,-81.91661903856769,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-82.98943328582719,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-72.26129081323216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-77.62536204952967,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-66.89721957693466,-66.89721957693466,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-77.62536204952967,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-72.26129081323216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.98943328582719,-81.91661903856769,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.06224753308669,-86.20787602760569,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-67.97003382419416,-69.04284807145366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-70.11566231871316,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-70.11566231871316,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3535045221247,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-73.33410506049167,-72.26129081323216,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.4991330166437,-91.5719472639032,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-89.4263187693842,-87.2806902748652,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.77099054404867,-80.84380479130819,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-71.18847656597266,-71.18847656597266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.13506178034619,-85.13506178034619,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-77.62536204952967,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.5719472639032,-89.4263187693842,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-67.97003382419416,-66.89721957693466,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-74.40691930775117,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-95.8632042529412,-100.0,-100.0,-78.69817629678917,-78.69817629678917,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-88.3535045221247,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-77.62536204952967,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.2806902748652,-87.2806902748652,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-100.0,-100.0,-100.0,-76.55254780227017,-76.55254780227017,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.84380479130819,-80.84380479130819,-100.0,-100.0,-100.0,-100.0
