@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.62471782119403,-74.00498258488852,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-69.04710069444442,-69.66683593074993,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.68127589316569,-82.06154065686019,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.00498258488852,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-76.48392353011057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86418829380506,-75.86418829380506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.25889301991532,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-78.34312923902712,-78.34312923902712,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.24445305749956,-75.86418829380506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-84.54048160208222,-85.16021683838775,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-72.76551211227749,-73.38524734858302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-76.48392353011057,-76.48392353011057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.00498258488852,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-76.48392353011057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.77995207469326,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86418829380506,-75.86418829380506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-83.92074636577672,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.48392353011057,-76.48392353011057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-74.00498258488852,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.68127589316569,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86418829380506,-75.86418829380506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-78.96286447533262,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-71.52604163966647,-70.90630640336096,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-83.92074636577672,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.72339400272159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30101112947122,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.72339400272159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-78.34312923902712,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-82.68127589316569,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.72339400272159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-83.30101112947122,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-81.44180542055467,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-78.96286447533262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-79.58259971163812,-79.58259971163812,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-81.44180542055467,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-82.68127589316569,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.72339400272159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-83.30101112947122,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-81.44180542055467,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-78.96286447533262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-79.58259971163812,-79.58259971163812,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.44180542055467,-81.44180542055467,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-84.54048160208222,-85.16021683838775,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.54048160208222,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-76.48392353011057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.54048160208222,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90630640336096,-71.52604163966647,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.77995207469326,-85.77995207469326,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90630640336096,-70.90630640336096,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-75.24445305749956,-75.24445305749956,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-75.24445305749956,-75.24445305749956,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-75.24445305749956,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-78.34312923902712,-78.34312923902712,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-74.62471782119403,-74.62471782119403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-76.48392353011057,-75.86418829380506,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-84.54048160208222,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-75.86418829380506,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.92074636577672,-83.92074636577672,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-79.58259971163812,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.20233494794365,-80.82207018424916,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-73.38524734858302,-73.38524734858302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.82207018424916,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-70.28657116705546,-69.66683593074993,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-79.58259971163812,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90630640336096,-71.52604163966647,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.06154065686019,-80.20233494794365,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-71.52604163966647,-70.90630640336096,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-72.76551211227749,-72.76551211227749,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.16021683838775,-85.16021683838775,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-71.52604163966647,-70.90630640336096,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-70.90630640336096,-70.90630640336096,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.54048160208222,-82.06154065686019,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.30101112947122,-83.92074636577672,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-73.38524734858302,-72.76551211227749,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.82207018424916,-80.20233494794365,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-74.62471782119403,-74.00498258488852,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.72339400272159,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-78.96286447533262,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-72.76551211227749,-72.14577687597199,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.72339400272159,-77.72339400272159,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10365876641609,-77.10365876641609,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.96286447533262,-80.82207018424916,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-71.52604163966647,-71.52604163966647,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.06154065686019,-82.06154065686019,-100.0,-100.0,-100.0,-100.0
