@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 16',-100.0,-94.57299392076226,-93.5885814388159,-90.6353439929768,-91.61975647492316,-87.68210654713769,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-67.009444426264,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-94.57299392076226,-100.0,-87.68210654713769,-88.66651902908406,-87.68210654713769,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-67.009444426264,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-87.68210654713769,-88.66651902908406,-87.68210654713769,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-67.009444426264,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-87.68210654713769,-88.66651902908406,-82.76004413740587,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-67.009444426264,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-87.68210654713769,-88.66651902908406,-100.0,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-67.009444426264,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-88.66651902908406,-85.71328158324496,-100.0,-87.68210654713769,-100.0,-100.0,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-74.88474428183493,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-93.5885814388159,-85.71328158324496,-100.0,-82.76004413740587,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.8691567637813,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-93.5885814388159,-100.0,-93.5885814388159,-85.71328158324496,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.8691567637813,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-100.0,-100.0,-94.57299392076226,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.8691567637813,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 16',-100.0,-100.0,-100.0,-94.57299392076226,-93.5885814388159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.8223942096204,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-91.61975647492316,-93.5885814388159,-82.76004413740587,-82.76004413740587,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-91.61975647492316,-93.5885814388159,-82.76004413740587,-82.76004413740587,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-91.61975647492316,-93.5885814388159,-83.74445661935223,-82.76004413740587,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-91.61975647492316,-93.5885814388159,-88.66651902908406,-88.66651902908406,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-84.7288691012986,-89.65093151103044,-88.66651902908406,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-97.52623136660137,-93.5885814388159,-89.65093151103044,-89.65093151103044,-88.66651902908406,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.8223942096204,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-100.0,-93.5885814388159,-89.65093151103044,-89.65093151103044,-88.66651902908406,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.8223942096204,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-100.0,-93.5885814388159,-89.65093151103044,-89.65093151103044,-91.61975647492316,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.8223942096204,-78.8223942096204,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-100.0,-100.0,-89.65093151103044,-89.65093151103044,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.83798172767403,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 17',-100.0,-100.0,-100.0,-89.65093151103044,-100.0,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.85356924572767,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-92.60416895686953,-89.65093151103044,-89.65093151103044,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-68.97826939015674,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-92.60416895686953,-86.69769406519133,-87.68210654713769,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-92.60416895686953,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-92.60416895686953,-89.65093151103044,-87.68210654713769,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-92.60416895686953,-89.65093151103044,-87.68210654713769,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-92.60416895686953,-89.65093151103044,-87.68210654713769,-89.65093151103044,-90.6353439929768,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-100.0,-89.65093151103044,-87.68210654713769,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-100.0,-89.65093151103044,-87.68210654713769,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-100.0,-81.77563165545949,-81.77563165545949,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-76.85356924572767,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-100.0,-81.77563165545949,-81.77563165545949,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 18',-100.0,-100.0,-100.0,-81.77563165545949,-81.77563165545949,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-92.60416895686953,-81.77563165545949,-81.77563165545949,-83.74445661935223,-84.7288691012986,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.9626818721031,-63.07179449847853,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-92.60416895686953,-81.77563165545949,-81.77563165545949,-88.66651902908406,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-63.07179449847853,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-92.60416895686953,-81.77563165545949,-81.77563165545949,-87.68210654713769,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-63.07179449847853,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-92.60416895686953,-85.71328158324496,-81.77563165545949,-87.68210654713769,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-63.07179449847853,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-93.5885814388159,-85.71328158324496,-81.77563165545949,-87.68210654713769,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-93.5885814388159,-85.71328158324496,-81.77563165545949,-87.68210654713769,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-75.8691567637813,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-93.5885814388159,-85.71328158324496,-100.0,-87.68210654713769,-88.66651902908406,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.93150683599583,-62.08738201653217,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-100.0,-85.71328158324496,-100.0,-90.6353439929768,-89.65093151103044,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-100.0,-88.66651902908406,-100.0,-90.6353439929768,-89.65093151103044,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 19',-100.0,-100.0,-100.0,-100.0,-100.0,-90.6353439929768,-89.65093151103044,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.99385690821036,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 20',-86.69769406519133,-93.5885814388159,-93.5885814388159,-88.66651902908406,-89.65093151103044,-90.6353439929768,-89.65093151103044,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.13414457069307,-62.08738201653217,-100.0,-100.0,-100.0,-100.0
'MP 20',-86.69769406519133,-93.5885814388159,-93.5885814388159,-88.66651902908406,-89.65093151103044,-90.6353439929768,-89.65093151103044,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.13414457069307,-59.13414457069307,-100.0,-100.0,-100.0,-100.0
