@relation allDataForWeka-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
'MP  6',0,0,0,0,0,68.292683,70,0,0,0,0,0,0,0,18.367347,24.489796,0,0,0,0
'MP  6',0,0,0,0,0,68.292683,72.5,0,0,0,0,0,0,0,24.489796,24.489796,0,0,0,0
'MP  6',0,0,0,0,0,58.536585,72.5,0,0,0,0,0,0,0,22.44898,28.571429,0,0,0,0
'MP  6',0,0,0,0,0,60.97561,62.5,0,0,0,0,0,0,0,0,22.44898,0,0,0,0
'MP  6',0,0,0,0,0,56.097561,57.5,0,0,0,0,0,0,0,0,20.408163,0,0,0,0
'MP  6',0,0,0,0,0,53.658537,55,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,46.341463,50,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,75.609756,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,56.097561,60,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,46.341463,50,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,56.097561,60,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,46.341463,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,60.97561,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,63.414634,65,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  6',0,0,0,0,0,63.414634,65,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  7',0,0,0,0,0,70.731707,72.5,0,0,0,0,0,0,0,24.489796,24.489796,0,0,0,0
'MP  7',0,0,0,0,0,63.414634,67.5,0,0,0,0,0,0,0,28.571429,26.530612,0,0,0,0
'MP  7',0,0,0,0,0,65.853659,62.5,0,0,0,0,0,0,0,28.571429,28.571429,0,0,0,0
'MP  7',0,0,0,0,0,53.658537,52.5,0,0,0,0,0,0,0,40.816327,38.77551,0,0,0,0
'MP  7',0,0,0,0,0,75.609756,77.5,0,0,0,0,0,0,0,38.77551,38.77551,0,0,0,0
'MP  7',0,0,0,0,0,87.804878,92.5,0,0,0,0,0,0,0,44.897959,42.857143,0,0,0,0
'MP  7',0,0,0,0,0,85.365854,85,0,0,0,0,0,0,0,34.693878,40.816327,0,0,0,0
'MP  7',0,0,0,0,0,82.926829,87.5,0,0,0,0,0,0,0,24.489796,24.489796,0,0,0,0
'MP  7',0,0,0,0,0,78.04878,80,0,0,0,0,0,0,0,24.489796,24.489796,0,0,0,0
'MP  7',0,0,0,0,0,82.926829,87.5,0,0,0,0,0,0,0,22.44898,22.44898,0,0,0,0
'MP  7',0,0,0,0,0,58.536585,65,0,0,0,0,0,0,0,30.612245,20.408163,0,0,0,0
'MP  7',0,0,0,0,0,51.219512,50,0,0,0,0,0,0,0,42.857143,40.816327,0,0,0,0
'MP  7',0,0,0,0,0,58.536585,60,0,0,0,0,0,0,0,36.734694,38.77551,0,0,0,0
'MP  7',0,0,0,0,0,68.292683,67.5,0,0,0,0,0,0,0,26.530612,26.530612,0,0,0,0
'MP  7',0,0,0,0,0,73.170732,72.5,0,0,0,0,0,0,0,20.408163,18.367347,0,0,0,0
'MP  7',0,0,0,0,0,87.804878,87.5,0,0,0,0,0,0,0,22.44898,20.408163,0,0,0,0
'MP  7',0,0,0,0,0,68.292683,75,0,0,0,0,0,0,0,24.489796,28.571429,0,0,0,0
'MP  7',0,0,0,0,0,46.341463,47.5,0,0,0,0,0,0,0,40.816327,22.44898,0,0,0,0
'MP  7',0,0,0,0,0,43.902439,45,0,0,0,0,0,0,0,0,40.816327,0,0,0,0
'MP  7',0,0,0,0,0,41.463415,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0
'MP  8',0,0,22.222222,0,0,85.365854,87.5,0,0,0,0,0,0,0,26.530612,34.693878,0,0,0,0
'MP  8',0,0,0,0,0,60.97561,62.5,0,0,0,0,0,0,0,30.612245,28.571429,0,0,0,0
'MP  8',0,0,0,0,0,75.609756,80,0,0,0,0,0,0,0,38.77551,40.816327,0,0,0,0
'MP  8',0,0,0,0,0,70.731707,75,0,0,0,0,0,0,0,48.979592,48.979592,0,0,0,0
'MP  8',0,0,0,0,0,58.536585,62.5,0,0,0,0,0,0,0,44.897959,44.897959,0,0,0,0
'MP  8',0,0,0,0,0,78.04878,82.5,0,0,0,0,0,0,0,48.979592,48.979592,0,0,0,0
'MP  8',0,0,0,0,0,60.97561,62.5,0,0,0,0,0,0,0,44.897959,38.77551,0,0,0,0
'MP  8',0,0,0,0,0,82.926829,85,0,0,0,0,0,0,0,34.693878,34.693878,0,0,0,0
'MP  8',0,0,0,0,0,63.414634,67.5,0,0,0,0,0,0,0,34.693878,36.734694,0,0,0,0
'MP  8',0,0,0,0,0,63.414634,65,0,0,0,0,0,0,0,36.734694,38.77551,0,0,0,0
'MP  8',0,0,0,0,0,75.609756,77.5,0,0,0,0,0,0,0,40.816327,40.816327,0,0,0,0
'MP  8',0,0,0,0,0,48.780488,47.5,0,0,0,0,0,0,0,32.653061,32.653061,0,0,0,0
'MP  8',0,0,0,0,0,73.170732,75,0,0,0,0,0,0,0,26.530612,24.489796,0,0,0,0
'MP  8',0,0,0,0,0,68.292683,75,0,0,0,0,0,0,0,38.77551,40.816327,0,0,0,0
'MP  8',0,0,0,0,0,58.536585,57.5,0,0,0,0,0,0,0,40.816327,36.734694,0,0,0,0
'MP  8',0,0,0,0,0,65.853659,70,0,0,0,0,0,0,0,36.734694,36.734694,0,0,0,0
'MP  8',0,0,0,0,0,70.731707,72.5,0,0,0,0,0,0,0,32.653061,34.693878,0,0,0,0
'MP  8',0,0,0,0,0,68.292683,67.5,0,0,0,0,0,0,0,40.816327,44.897959,0,0,0,0
