@relation DesireHD_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-76.10995816920413,-77.10686080409276,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.07588715297899,-87.07588715297899,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.13163972498377,-68.13473709009516,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.09137397853587,-81.09447134364726,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-73.11925026453827,-72.12234762964965,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0727897878676,-88.0727897878676,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.1161528994269,-74.1161528994269,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.09447134364726,-80.09756870875863,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-63.15022391565204,-65.14402918542929,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.10066607387,-79.10066607387,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-64.14712655054066,-64.14712655054066,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0727897878676,-87.07588715297899,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-67.13783445520653,-68.13473709009516,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0882766134245,-84.08517924831312,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-66.1409318203179,-66.1409318203179,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.07588715297899,-86.07898451809037,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-69.13163972498377,-69.13163972498377,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.07588715297899,-86.07898451809037,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-67.13783445520653,-67.13783445520653,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.06659505764486,-90.06659505764486,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-71.12544499476103,-70.1285423598724,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-62.153321280763414,-63.15022391565204,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.08517924831312,-83.0882766134245,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-70.1285423598724,-71.12544499476103,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0727897878676,-87.07588715297899,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.11305553431552,-74.1161528994269,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0727897878676,-88.0727897878676,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-73.11925026453827,-73.11925026453827,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.05730296231073,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.10686080409276,-77.10686080409276,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-72.12234762964965,-73.11925026453827,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-87.07588715297899,-88.0727897878676,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-75.11305553431552,-75.11305553431552,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
