@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,0,0,0,0,0,0.611111,0.628571,0,0,0,0,0,0,0,0.204082,0.183673,0,0,0,0
L2.MC,0,0,0,0,0,0.638889,0.657143,0,0,0,0,0,0,0,0.204082,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.75,0.8,0,0,0,0,0,0,0,0.204082,0,0,0,0,0
L2.MC,0,0,0,0,0,0.5,0.514286,0,0,0,0,0,0,0,0.183673,0,0,0,0,0
L2.MC,0,0,0,0,0,0.444444,0.457143,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.333333,0.342857,0,0,0,0,0,0,0,0.265306,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.805556,0.8,0,0,0,0,0,0,0,0.204082,0.204082,0,0,0,0
L2.MC,0,0,0,0,0,0.555556,0.6,0,0,0,0,0,0,0,0.326531,0.326531,0,0,0,0
L2.MC,0,0,0,0,0,0.638889,0.628571,0,0,0,0,0,0,0,0.346939,0.346939,0,0,0,0
L2.MC,0,0,0,0,0,0.833333,0.857143,0,0,0,0,0,0,0,0.22449,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.722222,0.714286,0,0,0,0,0,0,0,0.265306,0.265306,0,0,0,0
L2.MC,0,0,0,0,0,0.583333,0.628571,0,0,0,0,0,0,0,0.244898,0.265306,0,0,0,0
L2.MC,0,0,0,0,0,0.416667,0.457143,0,0,0,0,0,0,0,0.346939,0.326531,0,0,0,0
L2.MC,0,0,0,0,0,0.611111,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.833333,0.857143,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.611111,0.628571,0,0,0,0,0,0,0,0.183673,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.527778,0.571429,0,0,0,0,0,0,0,0.265306,0.244898,0,0,0,0
L2.MC,0,0,0,0,0,0.861111,0.885714,0,0,0,0,0,0,0,0.183673,0.244898,0,0,0,0
L2.MC,0,0,0,0,0,0.638889,0.685714,0,0,0,0,0,0,0,0.244898,0.285714,0,0,0,0
L2.MC,0,0,0,0,0,0.527778,0.571429,0,0,0,0,0,0,0,0.22449,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.638889,0.685714,0,0,0,0,0,0,0,0,0.204082,0,0,0,0
L2.MC,0,0,0,0,0,0.527778,0.542857,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.694444,0.714286,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.722222,0.742857,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.722222,0.742857,0,0,0,0,0,0,0,0,0,0,0,0,0
L2.MC,0,0,0,0,0,0.666667,0.742857,0,0,0,0,0,0,0,0.22449,0.22449,0,0,0,0
L2.MC,0,0,0,0,0,0.583333,0.571429,0,0,0,0,0,0,0,0.306122,0.204082,0,0,0,0
L2.MC,0,0,0,0,0,0.666667,0.685714,0,0,0,0,0,0,0,0.428571,0.408163,0,0,0,0
L2.MC,0,0,0,0,0,0.777778,0.771429,0,0,0,0,0,0,0,0.367347,0.387755,0,0,0,0
L2.MC,0,0,0,0,0,0.833333,0.828571,0,0,0,0,0,0,0,0.265306,0.265306,0,0,0,0
