@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.37549747412501,-95.37092794004106,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-87.33437166736933,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-85.3252325992014,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.37092794004106,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-86.32980213328537,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-85.3252325992014,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-95.37092794004106,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-73.27039819019382,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  2',-100.0,-100.0,-100.0,-100.0,-100.0,-76.28410679244571,-76.28410679244571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-85.3252325992014,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-89.34351073553727,-100.0,-100.0,-100.0,-99.38920607637691
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-78.29324586061364,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26582865610985,-72.26582865610985,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-77.28867632652968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-78.29324586061364,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-91.35264980370519,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.34351073553727,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-78.29324586061364,-77.28867632652968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-76.28410679244571,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  3',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-95.37092794004106,-95.37092794004106,-100.0,-100.0,-87.33437166736933,-88.3389412014533,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-88.3389412014533,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-90.34808026962122,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-82.3115239969495,-82.3115239969495,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3389412014533,-88.3389412014533,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-76.28410679244571,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-85.3252325992014,-85.3252325992014,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  4',-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-87.33437166736933,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-91.35264980370519,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-82.3115239969495,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-87.33437166736933,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-86.32980213328537,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-73.27039819019382,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-78.29324586061364,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-82.3115239969495,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-88.3389412014533,-87.33437166736933,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-87.33437166736933,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-82.3115239969495,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  5',-100.0,-100.0,-100.0,-100.0,-100.0,-73.27039819019382,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-83.31609353103347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26582865610985,-72.26582865610985,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-79.29781539469761,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-89.34351073553727,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-83.31609353103347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-79.29781539469761,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-78.29324586061364,-78.29324586061364,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-77.28867632652968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  6',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-77.28867632652968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-79.29781539469761,-77.28867632652968,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-82.3115239969495,-83.31609353103347,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3389412014533,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-79.29781539469761,-79.29781539469761,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.3115239969495,-83.31609353103347,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-76.28410679244571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.3252325992014,-84.32066306511743,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-73.27039819019382,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-67.24298098569002,-68.247550519774,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-93.36178887187312,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-89.34351073553727,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-85.3252325992014,-85.3252325992014,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  7',-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-86.32980213328537,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-99.38920607637691,-100.0,-100.0,-83.31609353103347,-84.32066306511743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-87.33437166736933,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-73.27039819019382,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-83.31609353103347,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-79.29781539469761,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-85.3252325992014,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-76.28410679244571,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.3252325992014,-85.3252325992014,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-86.32980213328537,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-76.28410679244571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-81.30695446286553,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-71.26125912202589,-71.26125912202589,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-81.30695446286553,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-76.28410679244571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.32980213328537,-85.3252325992014,-100.0,-100.0,-100.0,-100.0
'MP  8',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.33437166736933,-89.34351073553727,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26582865610985,-73.27039819019382,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-74.27496772427779,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-74.27496772427779,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.35264980370519,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-77.28867632652968,-76.28410679244571,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36178887187312,-94.36635840595709,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-92.35721933778916,-90.34808026962122,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.31609353103347,-84.32066306511743,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-75.27953725836174,-75.27953725836174,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.3389412014533,-88.3389412014533,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-81.30695446286553,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.36635840595709,-92.35721933778916,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-72.26582865610985,-71.26125912202589,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP  9',-100.0,-100.0,-100.0,-100.0,-100.0,-78.29324586061364,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-98.38463654229295,-100.0,-100.0,-82.3115239969495,-82.3115239969495,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-91.35264980370519,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-81.30695446286553,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.34808026962122,-90.34808026962122,-100.0,-100.0,-100.0,-100.0
'MP 10',-100.0,-100.0,-100.0,-100.0,-100.0,-80.30238492878158,-80.30238492878158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.32066306511743,-84.32066306511743,-100.0,-100.0,-100.0,-100.0
