@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 31',-100.0,-100.0,-100.0,-67.71874227317333,-72.38180984894825,-91.03408015204796,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-92.1998470459917,-100.0,-92.1998470459917,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-72.38180984894825,-72.38180984894825,-91.03408015204796,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-93.36561393993543,-100.0,-92.1998470459917,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-72.38180984894825,-72.38180984894825,-91.03408015204796,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-93.36561393993543,-100.0,-92.1998470459917,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-72.38180984894825,-72.38180984894825,-91.03408015204796,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36561393993543,-100.0,-89.86831325810424,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-72.38180984894825,-72.38180984894825,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36561393993543,-100.0,-89.86831325810424,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-72.38180984894825,-72.38180984894825,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.86831325810424,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-79.37641121261065,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.7025463641605,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-79.37641121261065,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.7025463641605,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-74.71334363683572,-72.38180984894825,-89.86831325810424,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-93.36561393993543,-94.53138083387917,-81.70794500049811,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-89.86831325810424,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-93.36561393993543,-94.53138083387917,-80.54217810655437,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-94.53138083387917,-80.54217810655437,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-94.53138083387917,-80.54217810655437,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-80.54217810655437,-75.87911053077946,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-85.2052456823293,-84.03947878838558,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-80.54217810655437,-79.37641121261065,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-82.87371189444184,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-80.54217810655437,-79.37641121261065,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-82.87371189444184,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-100.0,-82.87371189444184,-79.37641121261065,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-82.87371189444184,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.36561393993543,-100.0,-82.87371189444184,-79.37641121261065,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-82.87371189444184,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.54217810655437,-82.87371189444184,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-82.87371189444184,-84.03947878838558,-94.53138083387917,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-93.36561393993543,-94.53138083387917,-92.1998470459917,-82.87371189444184,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-82.87371189444184,-84.03947878838558,-94.53138083387917,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-95.6971477278229,-94.53138083387917,-92.1998470459917,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-94.53138083387917,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-95.6971477278229,-100.0,-89.86831325810424,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-74.71334363683572,-84.03947878838558,-94.53138083387917,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-95.6971477278229,-100.0,-89.86831325810424,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-81.70794500049811,-77.04487742472318,-94.53138083387917,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-95.6971477278229,-100.0,-89.86831325810424,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-81.70794500049811,-77.04487742472318,-94.53138083387917,-100.0,-100.0,-100.0,-94.53138083387917,-95.6971477278229,-100.0,-95.6971477278229,-100.0,-86.37101257627305,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-81.70794500049811,-77.04487742472318,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-96.86291462176663,-100.0,-86.37101257627305,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-77.04487742472318,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.86291462176663,-100.0,-86.37101257627305,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-87.53677947021677,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.86291462176663,-100.0,-85.2052456823293,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-87.53677947021677,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.86291462176663,-100.0,-85.2052456823293,-81.70794500049811,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-87.53677947021677,-77.04487742472318,-93.36561393993543,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-96.86291462176663,-98.02868151571036,-86.37101257627305,-81.70794500049811,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-87.53677947021677,-77.04487742472318,-93.36561393993543,-95.6971477278229,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-98.02868151571036,-98.02868151571036,-86.37101257627305,-81.70794500049811,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-87.53677947021677,-77.04487742472318,-93.36561393993543,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-93.36561393993543,-98.02868151571036,-88.7025463641605,-81.70794500049811,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.04487742472318,-77.04487742472318,-93.36561393993543,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-93.36561393993543,-98.02868151571036,-88.7025463641605,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-77.04487742472318,-94.53138083387917,-100.0,-100.0,-100.0,-94.53138083387917,-94.53138083387917,-100.0,-93.36561393993543,-98.02868151571036,-88.7025463641605,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-77.04487742472318,-94.53138083387917,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-100.0,-93.36561393993543,-98.02868151571036,-88.7025463641605,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-77.04487742472318,-94.53138083387917,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-100.0,-93.36561393993543,-95.6971477278229,-88.7025463641605,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-77.04487742472318,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53138083387917,-100.0,-96.86291462176663,-95.6971477278229,-88.7025463641605,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-77.04487742472318,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.86291462176663,-95.6971477278229,-86.37101257627305,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-74.71334363683572,-75.87911053077946,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-96.86291462176663,-100.0,-86.37101257627305,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-74.71334363683572,-75.87911053077946,-94.53138083387917,-96.86291462176663,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-96.86291462176663,-95.6971477278229,-81.70794500049811,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-94.53138083387917,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-96.86291462176663,-95.6971477278229,-81.70794500049811,-85.2052456823293,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-94.53138083387917,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-96.86291462176663,-95.6971477278229,-81.70794500049811,-78.21064431866692,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-95.6971477278229,-94.53138083387917,-81.70794500049811,-78.21064431866692,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-95.6971477278229,-94.53138083387917,-81.70794500049811,-78.21064431866692,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-95.6971477278229,-94.53138083387917,-81.70794500049811,-78.21064431866692,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-75.87911053077946,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-98.02868151571036,-100.0,-95.6971477278229,-94.53138083387917,-82.87371189444184,-78.21064431866692,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-87.53677947021677,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.6971477278229,-94.53138083387917,-82.87371189444184,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-87.53677947021677,-74.71334363683572,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.1998470459917,-94.53138083387917,-80.54217810655437,-100.0,-100.0,-100.0,-100.0,-100.0
