@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R2

@attribute MP {'MP  0','MP  1','MP  2','MP  3','MP  4','MP  5','MP  6','MP  7','MP  8','MP  9','MP 10','MP 11','MP 12','MP 13','MP 14','MP 15','MP 16','MP 17','MP 18','MP 19','MP 20','MP 21','MP 22','MP 23','MP 24','MP 25','MP 26','MP 27','MP 28','MP 29','MP 30','MP 31','MP 32','MP 33','MP 34','MP 35','MP 36','MP 37','MP 38','MP 39','MP 40','MP 41'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'MP 30',-100.0,-100.0,-100.0,-76.2005895837915,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.91490915997159,-87.98632926592657,-100.0,-100.0,-100.0,-100.0
'MP 30',-100.0,-100.0,-100.0,-76.2005895837915,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.91490915997159,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 30',-100.0,-100.0,-100.0,-100.0,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 30',-100.0,-100.0,-100.0,-100.0,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-76.2005895837915,-80.12916947783651,-95.84348905401662,-101.08159557940998,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-97.15301568536495,-100.0,-98.4625423167133,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-76.2005895837915,-74.89106295244315,-95.84348905401662,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-97.15301568536495,-100.0,-98.4625423167133,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-69.65295642704979,-74.89106295244315,-95.84348905401662,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-97.15301568536495,-100.0,-97.15301568536495,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-74.89106295244315,-74.89106295244315,-95.84348905401662,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-98.4625423167133,-100.0,-97.15301568536495,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-74.89106295244315,-74.89106295244315,-95.84348905401662,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-98.4625423167133,-100.0,-97.15301568536495,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-74.89106295244315,-74.89106295244315,-95.84348905401662,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.4625423167133,-100.0,-94.53396242266827,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-74.89106295244315,-74.89106295244315,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.4625423167133,-100.0,-94.53396242266827,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-74.89106295244315,-74.89106295244315,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.53396242266827,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-82.7482227405332,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.22443579131993,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 31',-100.0,-100.0,-100.0,-82.7482227405332,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.22443579131993,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-77.51011621513983,-74.89106295244315,-94.53396242266827,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-98.4625423167133,-99.77206894806163,-85.36727600322989,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-94.53396242266827,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-98.4625423167133,-99.77206894806163,-84.05774937188154,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-99.77206894806163,-84.05774937188154,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-99.77206894806163,-84.05774937188154,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-84.05774937188154,-78.81964284648818,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-89.2958558972749,-87.98632926592657,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-84.05774937188154,-82.7482227405332,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-86.67680263457822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-84.05774937188154,-82.7482227405332,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-86.67680263457822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-100.0,-86.67680263457822,-82.7482227405332,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-86.67680263457822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.4625423167133,-100.0,-86.67680263457822,-82.7482227405332,-100.0,-100.0,-100.0,-100.0
'MP 32',-100.0,-100.0,-100.0,-86.67680263457822,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.05774937188154,-86.67680263457822,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-86.67680263457822,-87.98632926592657,-99.77206894806163,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-98.4625423167133,-99.77206894806163,-97.15301568536495,-86.67680263457822,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-86.67680263457822,-87.98632926592657,-99.77206894806163,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-101.08159557940998,-99.77206894806163,-97.15301568536495,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-99.77206894806163,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-101.08159557940998,-100.0,-94.53396242266827,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-77.51011621513983,-87.98632926592657,-99.77206894806163,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-101.08159557940998,-100.0,-94.53396242266827,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-85.36727600322989,-80.12916947783651,-99.77206894806163,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-101.08159557940998,-100.0,-94.53396242266827,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-85.36727600322989,-80.12916947783651,-99.77206894806163,-100.0,-100.0,-100.0,-99.77206894806163,-101.08159557940998,-100.0,-101.08159557940998,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-85.36727600322989,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-102.39112221075831,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-102.39112221075831,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-91.91490915997159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-102.39112221075831,-100.0,-89.2958558972749,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 33',-100.0,-100.0,-100.0,-91.91490915997159,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-102.39112221075831,-100.0,-89.2958558972749,-85.36727600322989,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-91.91490915997159,-80.12916947783651,-98.4625423167133,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-102.39112221075831,-103.70064884210666,-90.60538252862325,-85.36727600322989,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-91.91490915997159,-80.12916947783651,-98.4625423167133,-101.08159557940998,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-103.70064884210666,-103.70064884210666,-90.60538252862325,-85.36727600322989,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-91.91490915997159,-80.12916947783651,-98.4625423167133,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-98.4625423167133,-103.70064884210666,-93.22443579131993,-85.36727600322989,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-80.12916947783651,-80.12916947783651,-98.4625423167133,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-98.4625423167133,-103.70064884210666,-93.22443579131993,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-80.12916947783651,-99.77206894806163,-100.0,-100.0,-100.0,-99.77206894806163,-99.77206894806163,-100.0,-98.4625423167133,-103.70064884210666,-93.22443579131993,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-80.12916947783651,-99.77206894806163,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-100.0,-98.4625423167133,-103.70064884210666,-93.22443579131993,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-80.12916947783651,-99.77206894806163,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-100.0,-98.4625423167133,-101.08159557940998,-93.22443579131993,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-99.77206894806163,-100.0,-102.39112221075831,-101.08159557940998,-93.22443579131993,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-80.12916947783651,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-102.39112221075831,-101.08159557940998,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 34',-100.0,-100.0,-100.0,-77.51011621513983,-78.81964284648818,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-102.39112221075831,-100.0,-90.60538252862325,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-77.51011621513983,-78.81964284648818,-99.77206894806163,-102.39112221075831,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-102.39112221075831,-101.08159557940998,-85.36727600322989,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-99.77206894806163,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-102.39112221075831,-101.08159557940998,-85.36727600322989,-89.2958558972749,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-99.77206894806163,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-102.39112221075831,-101.08159557940998,-85.36727600322989,-81.43869610918486,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-101.08159557940998,-99.77206894806163,-85.36727600322989,-81.43869610918486,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-101.08159557940998,-99.77206894806163,-85.36727600322989,-81.43869610918486,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-101.08159557940998,-99.77206894806163,-85.36727600322989,-81.43869610918486,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-78.81964284648818,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-103.70064884210666,-100.0,-101.08159557940998,-99.77206894806163,-86.67680263457822,-81.43869610918486,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-91.91490915997159,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-101.08159557940998,-99.77206894806163,-86.67680263457822,-100.0,-100.0,-100.0,-100.0,-100.0
'MP 35',-100.0,-100.0,-100.0,-91.91490915997159,-77.51011621513983,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-97.15301568536495,-99.77206894806163,-84.05774937188154,-100.0,-100.0,-100.0,-100.0,-100.0
