@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-71,-72,-200,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-84,-84,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200,-83,-83,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-70,-70,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-74,-75,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-79,-78,-200,-200,-200,-200,-200,-200,-200,-88,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-83,-84,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-70,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-78,-78,-200,-200,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-81,-80,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-69,-69,-200,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-76,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-81,-80,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-75,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-74,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-79,-80,-200,-200,-200,-200,-200,-200,-200,-85,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-76,-200,-200,-200,-200,-200,-200,-200,-79,-80,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-82,-81,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-70,-71,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-64,-65,-200,-200,-200,-200,-200,-200,-200,-90,-91,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-70,-200,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-80,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200
L2.MC,-200,-200,-96,-200,-200,-80,-81,-200,-200,-200,-200,-200,-200,-200,-84,-84,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-70,-70,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-70,-200,-200,-200,-200,-200,-200,-200,-81,-80,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-80,-82,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-73,-72,-200,-200,-200,-200,-200,-200,-200,-82,-82,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-71,-71,-200,-200,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-80,-78,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-68,-68,-200,-200,-200,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-71,-73,-200,-200,-200,-200,-200,-200,-200,-83,-82,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-71,-200,-200,-200,-200,-200,-200,-200,-84,-86,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-69,-70,-200,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-71,-71,-200,-200,-200,-200,-200,-200,-200,-91,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-71,-72,-200,-200,-200,-200,-200,-200,-200,-88,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-74,-73,-200,-200,-200,-200,-200,-200,-200,-90,-91,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-89,-87,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200,-80,-81,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-72,-200,-200,-200,-200,-200,-200,-200,-85,-85,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-78,-78,-200,-200,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-69,-68,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
L2.MC,-200,-200,-95,-200,-200,-79,-79,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-77,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-74,-73,-200,-200,-200,-200,-200,-200,-200,-92,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-72,-72,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-88,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-75,-74,-200,-200,-200,-200,-200,-200,-200,-88,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-79,-78,-200,-200,-200,-200,-200,-200,-200,-86,-87,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-67,-68,-200,-200,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-66,-68,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-79,-78,-200,-200,-200,-200,-200,-200,-200,-91,-91,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-84,-82,-200,-200,-200,-200,-200,-200,-200,-89,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-79,-79,-200,-200,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-77,-77,-200,-200,-200,-200,-200,-200,-200,-87,-84,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-78,-78,-200,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-78,-77,-200,-200,-200,-200,-200,-200,-200,-88,-93,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-80,-81,-200,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
L2.MC,-200,-200,-200,-200,-200,-76,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
PL1.MC,-200,-96,-94,-90,-90,-87,-90,-200,-200,-89,-91,-200,-200,-200,-71,-72,-200,-200,-200,-200
PL1.MC,-200,-92,-92,-90,-89,-95,-93,-200,-200,-93,-94,-200,-200,-200,-77,-77,-200,-200,-200,-200
PL1.MC,-200,-89,-93,-85,-85,-84,-84,-200,-200,-90,-92,-200,-200,-200,-71,-70,-200,-200,-200,-200
